height_Mm,temperature_K,pressure_dyn_cm2,i_heinzel2015,f_heinzel2015_1e16_cm3
10,6000,0.01,0.74,5.0
10,6000,0.02,0.62,4.6
10,6000,0.05,0.44,4.2
10,6000,0.1,0.31,4.0
10,6000,0.2,0.2,4.0
10,8000,0.01,0.83,6.7
10,8000,0.02,0.72,5.8
10,8000,0.05,0.55,5.0
10,8000,0.1,0.44,4.8
10,8000,0.2,0.35,4.7
10,10000,0.01,0.87,8.1
10,10000,0.02,0.79,6.8
10,10000,0.05,0.7,5.3
10,10000,0.1,0.69,5.1
10,10000,0.2,0.73,5.3
10,12000,0.01,0.91,9.1
10,12000,0.02,0.85,7.0
10,12000,0.05,0.82,5.0
10,12000,0.1,0.85,4.9
10,12000,0.2,0.89,5.2
10,14000,0.01,0.93,9.8
10,14000,0.02,0.89,7.1
10,14000,0.05,0.89,4.9
10,14000,0.1,0.92,4.8
10,14000,0.2,0.94,5.0
20,6000,0.01,0.73,4.7
20,6000,0.02,0.6,4.2
20,6000,0.05,0.41,3.8
20,6000,0.1,0.29,3.7
20,6000,0.2,0.18,3.6
20,8000,0.01,0.81,6.3
20,8000,0.02,0.7,5.4
20,8000,0.05,0.52,4.6
20,8000,0.1,0.41,4.4
20,8000,0.2,0.33,4.3
20,10000,0.01,0.86,7.6
20,10000,0.02,0.78,6.3
20,10000,0.05,0.68,4.8
20,10000,0.1,0.68,4.7
20,10000,0.2,0.72,4.9
20,12000,0.01,0.9,8.6
20,12000,0.02,0.84,6.5
20,12000,0.05,0.81,4.6
20,12000,0.1,0.84,4.5
20,12000,0.2,0.88,4.8
20,14000,0.01,0.92,9.2
20,14000,0.02,0.88,6.4
20,14000,0.05,0.89,4.5
20,14000,0.1,0.91,4.4
20,14000,0.2,0.94,4.6
30,6000,0.01,0.71,4.5
30,6000,0.02,0.58,4.0
30,6000,0.05,0.39,3.5
30,6000,0.1,0.27,3.4
30,6000,0.2,0.17,3.4
30,8000,0.01,0.8,6.1
30,8000,0.02,0.68,5.1
30,8000,0.05,0.5,4.3
30,8000,0.1,0.39,4.0
30,8000,0.2,0.32,4.0
30,10000,0.01,0.85,7.4
30,10000,0.02,0.76,6.0
30,10000,0.05,0.66,4.5
30,10000,0.1,0.67,4.3
30,10000,0.2,0.71,4.5
30,12000,0.01,0.89,8.3
30,12000,0.02,0.83,6.1
30,12000,0.05,0.81,4.2
30,12000,0.1,0.84,4.2
30,12000,0.2,0.88,4.5
30,14000,0.01,0.92,8.9
30,14000,0.02,0.88,6.0
30,14000,0.05,0.88,4.2
30,14000,0.1,0.91,4.1
30,14000,0.2,0.93,4.3
