status,height_Mm,temperature_K,pressure_dyn_cm2,pressure_Pa,i_ne_over_nH,f_cm3,f_1e16_cm3,proton_fraction_np_over_nH,f_proton_cm3,f_proton_1e16_cm3,ne_cm3,nH_cm3,n2_cm3,hydrogen_population_sum_over_nH,reconstructed_pressure_Pa,pressure_relative_error,center_index,n_depth_points,iterations,duration_s,bc_type,boundary_source,Nhalf_points,Nrays,threads_per_model,JTol,popsTol,error_type,error_message
ok,1,6000,0.01,0.001,0.7746709493618363,8.299475111268715e+16,8.299475111268714,0.7740447728894271,8.286063389356997e+16,8.286063389356997,5025580234.679554,6487374076.463769,304.3139036697578,1.0000000000000002,0.0010000277848492,2.778484921848491e-05,45,91,62,22.242835202996503,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,1,6000,0.02,0.002,0.6528032073350837,7.516899236413605e+16,7.516899236413605,0.6522541494771947,7.504259969650619e+16,7.50425996965062,9063518369.283094,13883997914.597857,1092.8357910186046,1.0,0.0020000509394101,2.546970506744385e-05,45,91,63,22.7730097110034,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,1,6000,0.05,0.005,0.4199073568765975,6.9901062394324776e+16,6.990106239432477,0.4194230582908871,6.973991511745188e+16,6.973991511745188,16828790108.781197,40077388102.84013,4051.557541826508,0.9999999999999998,0.005000112060751,2.2412150199775657e-05,45,91,65,23.43476042999828,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,1,6000,0.1,0.01,0.2564369666433259,6.844387790690201e+16,6.844387790690201,0.2559789742785073,6.819961685913538e+16,6.819961685913539,23057005399.23351,89912954832.69046,7767.319945012542,1.0,0.0100000849524553,8.49524553446501e-06,45,91,66,13.292039791995194,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,1,6000,0.2,0.02,0.1497068926982942,6.817878683949024e+16,6.817878683949024,0.1492662917664813,6.77780647112601e+16,6.77780647112601,29246009188.74581,195355128021.29672,12545.383881380303,1.0000000000000002,0.0200000984205934,4.921029672297349e-06,45,91,66,13.527394268996431,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,1,8000,0.01,0.001,0.8460705665567327,1.0452745723489226e+17,10.452745723489226,0.844986399130572,1.042597427902365e+17,10.42597427902365,3964233538.3676753,4685464422.312882,150.34468418574744,1.0,0.0009999690929033,-3.090709663894353e-05,45,91,88,24.33856562699657,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,1,8000,0.02,0.002,0.7496311485973535,9.590802130190051e+16,9.590802130190053,0.7485773313711875,9.563855948896642e+16,9.56385594889664,7393778643.00111,9863222275.162558,570.0040713968523,1.0,0.0019999402351246,-2.9882437697697703e-05,45,91,90,25.30980477500998,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,1,8000,0.05,0.005,0.565599703432816,8.898288874090978e+16,8.898288874090978,0.5645702949897253,8.86592804388926e+16,8.86592804388926,15500583122.007248,27405571516.26665,2700.1604524420545,1.0,0.0049998908656006,-2.182687987677123e-05,45,91,92,29.31591278398992,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,1,8000,0.1,0.01,0.4119733882559812,8.663094220671221e+16,8.663094220671221,0.4109562870674893,8.620371234904683e+16,8.620371234904683,24896624175.347004,60432602893.945656,7154.9711862702925,1.0000000000000002,0.0099999181242592,-8.187574077229974e-06,45,91,93,25.460132074993453,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,1,8000,0.2,0.02,0.3150955755376176,8.610915030182898e+16,8.610915030182898,0.3140900785343404,8.55604637875465e+16,8.55604637875465,40717371121.75597,129222287721.063,19253.5207379882,0.9999999999999998,0.0199999698275521,-1.5086223941959685e-06,45,91,94,27.439319258992327,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
