height_Mm,temperature_K,pressure_dyn_cm2,i_extension,f_extension_1e16_cm3,i_pw_H,f_pw_H_1e16_cm3,C_i_applied,C_f_applied,i_pw_total_e,f_pw_total_e_1e16_cm3,iterations,duration_s
1,6000,0.01,0.7688228124,5.404240685,0.7740447729,8.286063389,0.9932536713,0.6522084651,0.7746709494,8.299475111,62,22.2428352
1,6000,0.02,0.6599657856,5.002589572,0.6522541495,7.50425997,1.011823054,0.6666332979,0.6528032073,7.516899236,63,22.77300971
1,6000,0.05,0.4872695378,4.578580824,0.4194230583,6.973991512,1.161761444,0.6565222823,0.4199073569,6.990106239,65,23.43476043
1,6000,0.1,0.3465681718,4.348885698,0.2559789743,6.819961686,1.353893119,0.6376701069,0.2564369666,6.844387791,66,13.29203979
1,6000,0.2,0.2237584489,4.348631917,0.1492662918,6.777806471,1.499055455,0.6415987143,0.1497068927,6.817878684,66,13.52739427
1,8000,0.01,0.852847773,7.174664054,0.8449863991,10.42597428,1.009303551,0.6881528634,0.8460705666,10.45274572,88,24.33856563
1,8000,0.02,0.7526341202,6.288684396,0.7485773314,9.563855949,1.005419332,0.6575469591,0.7496311486,9.59080213,90,25.30980478
1,8000,0.05,0.5941233352,5.460125684,0.564570295,8.865928044,1.052346077,0.6158549514,0.5655997034,8.898288874,92,29.31591278
1,8000,0.1,0.4780211711,5.235043884,0.4109562871,8.620371235,1.163192257,0.6072875218,0.4119733883,8.663094221,93,25.46013207
1,8000,0.2,0.3752835409,5.124528616,0.3140900785,8.556046379,1.194827747,0.5989365168,0.3150955755,8.61091503,94,27.43931926
1,10000,0.01,0.8877542096,8.65694727,0.8856614915,11.68703991,1.002362887,0.7407305302,0.9323284475,12.9511065,103,32.48399984
1,10000,0.02,0.813389386,7.410684186,0.8179677802,10.58389944,0.9944027207,0.7001846744,0.8511699579,11.46056119,118,40.48037134
1,10000,0.05,0.7200569139,5.806111772,0.7399771187,9.61044177,0.973079972,0.6041461892,0.7585635813,10.09928776,130,44.55461282
1,10000,0.1,0.7029490426,5.560271281,0.7365808766,9.711775139,0.9543406093,0.5725288324,0.7474840083,10.00141737,131,44.90666356
1,10000,0.2,0.7419980523,5.780278276,0.7499213373,10.17501366,0.9894345119,0.5680855546,0.7561685866,10.34524649,129,36.67398822
1,12000,0.01,0.9233649666,9.783233096,0.9141395002,12.58939445,1.010091968,0.777101165,0.9999165991,15.06286024,88,30.86322407
1,12000,0.02,0.8645282259,7.701047841,0.8725157002,10.62688948,0.9908454663,0.7246756314,0.9578979838,12.8084973,107,37.19147176
1,12000,0.05,0.8277698921,5.486772938,0.8619517869,9.011359647,0.9603436116,0.6088729285,0.9461633464,10.85816942,127,43.48240078
1,12000,0.1,0.8547044545,5.339858553,0.8852799442,9.097217534,0.9654623491,0.5869771205,0.9675608239,10.8668552,137,42.73170372
1,12000,0.2,0.8937050094,5.654339253,0.9083457039,9.841624611,0.9838820237,0.5745331158,0.9869917105,11.61960789,141,47.94634785
1,14000,0.01,0.9396326463,10.59920712,0.935654374,13.84743109,1.004251861,0.7654276848,1.021955432,16.51970247,68,24.44058088
1,14000,0.02,0.8985348848,7.848174556,0.9126791172,11.18307093,0.9845025134,0.7017906446,0.9989343102,13.39672715,88,17.63589712
1,14000,0.05,0.8940169967,5.374985678,0.9204161472,9.283617789,0.971318245,0.5789753305,1.006608857,11.10376569,109,37.59858464
1,14000,0.1,0.9225336441,5.23349882,0.9385011744,9.241697334,0.9829861372,0.5662919517,1.024626488,11.01572938,122,26.5247975
1,14000,0.2,0.9418414594,5.438443554,0.9537300112,9.846791961,0.9875346778,0.5523061293,1.039744244,11.70299218,131,45.79757881
2,6000,0.01,0.7632435376,5.324923016,0.7684276027,8.164449407,0.9932536713,0.6522084651,0.7690543752,8.177773599,62,18.41515948
2,6000,0.02,0.65244767,4.928929896,0.6448238824,7.393764926,1.011823054,0.6666332979,0.6453737951,7.406381266,64,22.96665694
2,6000,0.05,0.4783319761,4.512949459,0.4117299456,6.874023289,1.161761444,0.6565222823,0.4122154541,6.890244426,65,13.0305128
2,6000,0.1,0.3396659721,4.289671508,0.2508809354,6.727101462,1.353893119,0.6376701069,0.25134019,6.751752836,66,12.35354818
2,6000,0.2,0.2192265827,4.289549308,0.146243144,6.685719926,1.499055455,0.6415987143,0.1466849935,6.726180552,66,18.29297954
2,8000,0.01,0.8484683893,7.075408411,0.8406473837,10.2817394,1.009303551,0.6881528634,0.8417317246,10.30828109,89,22.50744029
2,8000,0.02,0.7464619031,6.195919147,0.7424383833,9.422778193,1.005419332,0.6575469591,0.743492394,9.449551484,91,16.48497525
2,8000,0.05,0.5858629571,5.378794924,0.5567208068,8.733866493,1.052346077,0.6158549514,0.5577504727,8.766203282,93,24.98384161
2,8000,0.1,0.4709392946,5.160268632,0.4048679758,8.497241333,1.163192257,0.6072875218,0.4058853416,8.539999294,94,32.66720145
2,8000,0.2,0.3706734784,5.051969675,0.3102317294,8.434900083,1.194827747,0.5989365168,0.3112374473,8.48967772,94,32.60380654
2,10000,0.01,0.8843619879,8.535835284,0.8822772664,11.52353648,1.002362887,0.7407305302,0.9289851884,12.77594938,104,35.60968139
2,10000,0.02,0.8089652833,7.290663159,0.8135187751,10.41248606,0.9944027207,0.7001846744,0.8467790674,11.28130911,119,41.22420215
2,10000,0.05,0.7163408609,5.714972242,0.736158262,9.459585021,0.973079972,0.6041461892,0.7547857162,9.944364841,130,33.47195456
