height_Mm,T6000K_p0.01,T6000K_p0.02,T6000K_p0.05,T6000K_p0.1,T6000K_p0.2,T8000K_p0.01,T8000K_p0.02,T8000K_p0.05,T8000K_p0.1,T8000K_p0.2,T10000K_p0.01,T10000K_p0.02,T10000K_p0.05,T10000K_p0.1,T10000K_p0.2,T12000K_p0.01,T12000K_p0.02,T12000K_p0.05,T12000K_p0.1,T12000K_p0.2,T14000K_p0.01,T14000K_p0.02,T14000K_p0.05,T14000K_p0.1,T14000K_p0.2
1,5.4042407,5.0025896,4.5785808,4.3488857,4.3486319,7.1746641,6.2886844,5.4601257,5.2350439,5.1245286,8.6569473,7.4106842,5.8061118,5.5602713,5.7802783,9.7832331,7.7010478,5.4867729,5.3398586,5.6543393,10.599207,7.8481746,5.3749857,5.2334988,5.4384436
2,5.324923,4.9289299,4.5129495,4.2896715,4.2895493,7.0754084,6.1959191,5.3787949,5.1602686,5.0519697,8.5358353,7.2906632,5.7149722,5.4804539,5.697752,9.6299656,7.5615039,5.3982602,5.2629998,5.5758305,10.426319,7.6984657,5.2887947,5.1575759,5.3624206
3,5.2728232,4.8758688,4.4635691,4.2440918,4.2439285,7.0193168,6.1313501,5.3187419,5.1033186,4.9962219,8.4711631,7.2116115,5.6480583,5.4200235,5.6345403,9.5585554,7.4729691,5.3339402,5.2050568,5.5159357,10.337953,7.6051971,5.2265533,5.1005805,5.3046087
4,5.2235989,4.8276005,4.4174305,4.2016089,4.2015183,6.9563228,6.0731236,5.2628113,5.0502703,4.9445331,8.3964609,7.1372626,5.5869239,5.363971,5.5760911,9.4606667,7.3841617,5.2747212,5.1515089,5.4606362,10.227987,7.5100124,5.168191,5.0476331,5.2511775
5,5.181862,4.7838436,4.3769499,4.164437,4.1643297,6.9107403,6.0207164,5.2133498,5.0039,4.8992346,8.3465522,7.0737983,5.5323256,5.3147946,5.5248021,9.4012249,7.3144354,5.2228938,5.1046014,5.4121505,10.15837,7.4355697,5.1181822,5.0016337,5.2044971
6,5.1337219,4.7386069,4.333446,4.1240218,4.1240016,6.8496814,5.9643232,5.160952,4.9536242,4.8501819,8.2704268,7.0005619,5.4749528,5.2618161,5.469418,9.307095,7.2283597,5.1668919,5.0538674,5.3597328,10.043345,7.3429944,5.0628132,4.9513314,5.1537724
7,5.1018196,4.7036964,4.3003466,4.0935202,4.0934856,6.8160425,5.9240429,5.1207168,4.9157506,4.8131975,8.2344715,6.9529166,5.4312385,5.2218217,5.4276576,9.263996,7.1743138,5.1256825,5.015944,5.3203881,9.9922928,7.2858406,5.0229796,4.9141968,5.11598
8,5.0669634,4.6671797,4.2659727,4.0617001,4.0616487,6.7780548,5.8802992,5.0790221,4.8762667,4.7745732,8.1927785,6.9000139,5.3855298,5.1801073,5.3840101,9.2142415,7.1163025,5.0822739,4.9762229,5.2792024,9.9390967,7.2247479,4.9809665,4.8752195,5.0763533
9,5.0261542,4.6295144,4.2290593,4.0271194,4.0271223,6.7275566,5.8334276,5.0348882,4.8334607,4.7327334,8.1303202,6.8391554,5.337468,5.1351508,5.3368291,9.1380473,7.0449525,5.0353448,4.9332369,5.234631,9.8466831,7.14833,4.9344531,4.8325989,5.0332616
10,5,4.6,4.2,4,4,6.7,5.8,5,4.8,4.7,8.1,6.8,5.3,5.1,5.3,9.1,7,5,4.9,5.2,9.8,7.1,4.9,4.8,5
11,4.966256,4.5558137,4.1564791,3.9674864,3.956611,6.6559374,5.7551554,4.9562323,4.7565432,4.6565419,8.0460854,6.7441269,5.2449081,5.0564387,5.2564586,9.0466277,6.944409,4.9558113,4.8563828,5.1564812,9.7363172,7.023118,4.8560982,4.7564467,4.9565054
12,4.9366512,4.5144427,4.1140913,3.9355337,3.9139752,6.6175813,5.7146534,4.9142338,4.7139831,4.6138678,7.9995681,6.6941875,5.1923343,5.0139346,5.2137589,9.0021575,6.8958406,4.9137596,4.813904,5.1138441,9.6873741,6.9525341,4.8140282,4.7139678,4.9138787
13,4.8990818,4.4691153,4.0686108,3.900653,3.8687043,6.5656194,5.667164,4.8680783,4.6677629,4.5677733,7.9331557,6.6323447,5.13521,4.9674797,5.1670495,8.9327888,6.831093,4.8665525,4.7675083,5.0673492,9.6016081,6.8660916,4.7665273,4.6674169,4.8674322
14,4.8671009,4.4261729,4.0269514,3.8698577,3.8277077,6.523053,5.6244201,4.8255687,4.6264999,4.5267431,7.8790473,6.5796646,5.0824463,4.9260297,5.1259392,8.8758907,6.7774662,4.824723,4.7261896,5.0262285,9.5316869,6.7923001,4.7249702,4.6262182,4.826356
15,4.8372363,4.3869024,3.9881407,3.840999,3.7887479,6.4833402,5.5847535,4.7869888,4.5879163,4.4880902,7.8298509,6.5301594,5.0336811,4.887526,5.087515,8.8276303,6.7287055,4.7859452,4.68755,4.9877127,9.4742631,6.7240596,4.6863284,4.5875961,4.7877966
16,4.8114673,4.349832,3.9503586,3.8128125,3.7506279,6.4500523,5.5489678,4.7498681,4.5502885,4.4503316,7.7894055,6.4864302,4.9869992,4.8500816,5.050047,8.7898269,6.6863058,4.7491791,4.6500718,4.9501723,9.432693,6.6621925,4.6495415,4.5501363,4.7502198
17,4.7788906,4.3086441,3.910257,3.7827279,3.7108655,6.4062889,5.5064537,4.7091497,4.5101869,4.4103263,7.7351193,6.4326118,4.9363127,4.8098096,5.0098172,8.735158,6.6330457,4.7082832,4.6098201,4.9099722,9.3680841,6.5895767,4.6088497,4.5099134,4.7100581
18,4.7433853,4.2656015,3.8679229,3.7502749,3.6690319,6.3563035,5.4613187,4.6656319,4.4672315,4.367633,7.668805,6.3742052,4.8829664,4.7665392,4.9664773,8.6621692,6.5713835,4.6644306,4.5667219,4.8668218,9.2765672,6.5075889,4.564718,4.4667324,4.6669986
19,4.7212027,4.2325159,3.8337588,3.7249694,3.6342633,6.3273083,5.430399,4.6326162,4.4333959,4.3335719,7.6332268,6.3367158,4.8411379,4.7330413,4.9329968,8.6296931,6.5348655,4.6318839,4.5331027,4.8331646,9.2367644,6.452567,4.5320234,4.4330968,4.6332476
20,4.7,4.2,3.8,3.7,3.6,6.3,5.4,4.6,4.4,4.3,7.6,6.3,4.8,4.7,4.9,8.6,6.5,4.6,4.5,4.8,9.2,6.4,4.5,4.4,4.6
21,4.6741804,4.1751323,3.7669148,3.667488,3.5781656,6.2733751,5.3628577,4.5658325,4.3563913,4.2673038,7.5731273,6.2613982,4.7651689,4.6561334,4.8563856,8.5622903,6.4511571,4.5548971,4.4668361,4.76707,9.1659217,6.352209,4.4661661,4.3669674,4.5671276
22,4.658834,4.1585063,3.7374431,3.6374055,3.5585188,6.2595734,5.3376414,4.5377592,4.3162417,4.237536,7.5616062,6.2380487,4.7375579,4.6163945,4.8164513,8.5433935,6.4180069,4.5161607,4.4375818,4.7376442,9.1489978,6.3186329,4.4376562,4.3376047,4.5376126
23,4.6369599,4.1370482,3.7055474,3.605578,3.5370692,6.2378964,5.3055321,4.5057069,4.2738069,4.205557,7.5405102,6.2050753,4.7054757,4.5739389,4.7739697,8.5128047,6.3748814,4.473593,4.4055477,4.7055837,9.1148781,6.2750549,4.4054214,4.3055415,4.5055632
24,4.6102734,4.1121637,3.6719154,3.5723574,3.5141428,6.206212,5.2686763,4.4708964,4.2296364,4.1718092,7.5023559,6.1648915,4.6701505,4.5294606,4.7295214,8.458017,6.3222846,4.4281752,4.3713445,4.6714539,9.0555521,6.2217602,4.370204,4.2713299,4.4715155
25,4.5982707,4.097491,3.6451732,3.5450543,3.4968099,6.1981457,5.2467094,4.4456061,4.1930805,4.1451133,7.4986797,6.1469973,4.6455154,4.4933109,4.693339,8.4484458,6.2953722,4.3932611,4.3452033,4.6452247,9.0486322,6.1945622,4.3451868,4.2451587,4.4451809
26,4.5815737,4.0802578,3.6175429,3.5171716,3.4787965,6.1830087,5.2202387,4.4186968,4.1557861,4.1176258,7.4855676,6.1219616,4.6187263,4.4562164,4.6562947,8.4276076,6.2615121,4.3564468,4.3179241,4.6180048,9.0294302,6.1610535,4.3183257,4.2178782,4.4178879
27,4.5621325,4.0606485,3.5887275,3.4885256,3.4599329,6.164126,5.1907166,4.3897416,4.1174908,4.0891236,7.4677082,6.0926905,4.5898268,4.4178977,4.6181046,8.4007909,6.2230932,4.3180043,4.289376,4.5895429,9.003285,6.1237346,4.2898218,4.189382,4.3894203
28,4.541622,4.041158,3.5599128,3.4596853,3.4407298,6.1455536,5.1609529,4.3608821,4.0790935,4.0602797,7.4506835,6.0626455,4.5608146,4.3794431,4.579622,8.3717604,6.1836859,4.2793706,4.2604939,4.5606733,8.9786867,6.0849199,4.2608936,4.160516,4.3605543
29,4.5283879,4.0261358,3.5327922,3.4319972,3.4225326,6.1343637,5.1383491,4.3349911,4.04234,4.0328086,7.4421607,6.0422011,4.5355099,4.342967,4.5428966,8.3598196,6.1546248,4.2441335,4.2335179,4.533456,8.9652915,6.0548653,4.2347916,4.1334538,4.3332827
30,4.5,4,3.5,3.4,3.4,6.1,5.1,4.3,4,4,7.4,6,4.5,4.3,4.5,8.3,6.1,4.2,4.2,4.5,8.9,6,4.2,4.1,4.3
31,4.4824425,3.9809464,3.4824508,3.3833085,3.3833092,6.0824568,5.0775487,4.2781129,3.9799122,3.9799474,7.38135,5.9734383,4.4769209,4.2786963,4.477485,8.2769737,6.0710104,4.1787408,4.1796521,4.4786001,8.8723655,5.9705779,4.1790048,4.0801755,4.2796617
32,4.4685056,3.9651944,3.4661243,3.3671433,3.3670967,6.0690571,5.0594386,4.2586274,3.9606759,3.9605307,7.3674637,5.9522508,4.4563197,4.2584897,4.4557845,8.259896,6.0471951,4.1592665,4.1603102,4.4580245,8.851627,5.9456532,4.1594551,4.0612423,4.260087
33,4.4397299,3.9382258,3.4448186,3.3476046,3.3475951,6.037698,5.0250729,4.2306701,3.9368323,3.9369146,7.331809,5.9092844,4.4261235,4.2327791,4.4290039,8.212842,6.0009228,4.1316703,4.1355392,4.4323804,8.797126,5.900391,4.1325818,4.0371307,4.2356654
34,4.4238553,3.9215321,3.4283309,3.3315273,3.3315015,6.0207667,5.0052204,4.2106773,3.9176361,3.9176546,7.3128724,5.8853864,4.4050461,4.2125809,4.4074746,8.1929992,5.9742622,4.1118322,4.1162012,4.4119412,8.7734445,5.8730099,4.1127279,4.0182033,4.2162089
35,4.4039751,3.9014864,3.4100582,3.3141109,3.31409,5.9988783,4.9810724,4.1878401,3.8966651,3.8967166,7.2879428,5.8553862,4.3808593,4.1903128,4.3839244,8.1623848,5.9411717,4.0893062,4.0948503,4.3895101,8.7375411,5.8400951,4.0903766,3.9973315,4.1948477
