height_Mm,T6000K_p0.01,T6000K_p0.02,T6000K_p0.05,T6000K_p0.1,T6000K_p0.2,T8000K_p0.01,T8000K_p0.02,T8000K_p0.05,T8000K_p0.1,T8000K_p0.2,T10000K_p0.01,T10000K_p0.02,T10000K_p0.05,T10000K_p0.1,T10000K_p0.2,T12000K_p0.01,T12000K_p0.02,T12000K_p0.05,T12000K_p0.1,T12000K_p0.2,T14000K_p0.01,T14000K_p0.02,T14000K_p0.05,T14000K_p0.1,T14000K_p0.2
1,0.76882281,0.65996579,0.48726954,0.34656817,0.22375845,0.85284777,0.75263412,0.59412334,0.47802117,0.37528354,0.88775421,0.81338939,0.72005691,0.70294904,0.74199805,0.92336497,0.86452823,0.82776989,0.85470445,0.89370501,0.93963265,0.89853488,0.894017,0.92253364,0.94184146
2,0.76324354,0.65244767,0.47833198,0.33966597,0.21922658,0.84846839,0.7464619,0.58586296,0.47093929,0.37067348,0.88436199,0.80896528,0.71634086,0.7006674,0.73999461,0.92084237,0.8617692,0.82635819,0.85389784,0.89309251,0.93777139,0.89693364,0.89330527,0.92210611,0.94153753
3,0.75951323,0.64712765,0.47189245,0.33460895,0.21592249,0.8455798,0.74220674,0.57995869,0.4657575,0.36724109,0.88221284,0.80596542,0.71364542,0.69896875,0.73844991,0.91919326,0.85992556,0.82533606,0.8532883,0.89261875,0.93662265,0.89585685,0.89278633,0.92178118,0.94130234
4,0.75609213,0.64249299,0.4662684,0.33022059,0.21306708,0.8428409,0.73837233,0.57473871,0.46120047,0.36419808,0.87999577,0.80316656,0.71129138,0.69742822,0.7370184,0.91754005,0.85817966,0.82441397,0.85272889,0.89217752,0.93538495,0.89478849,0.89230432,0.92147842,0.94108258
5,0.75296269,0.63798854,0.46099142,0.32612221,0.21040489,0.84045173,0.73478012,0.56978222,0.45697565,0.36141394,0.87817434,0.8006529,0.70906138,0.69601736,0.73573175,0.91618272,0.85661073,0.8235672,0.85222191,0.8917817,0.93441416,0.89389828,0.89187705,0.92120888,0.94088667
6,0.74969527,0.63370237,0.45596746,0.32225202,0.20789089,0.83774949,0.73121299,0.56509137,0.45288731,0.35864243,0.87602992,0.79802903,0.70688292,0.6945694,0.73435278,0.91454131,0.85494627,0.82269622,0.85168462,0.89135297,0.93325985,0.89290627,0.89141144,0.92091491,0.94067225
7,0.74726759,0.63015607,0.45178812,0.3190458,0.20582538,0.83587625,0.72834293,0.5611441,0.44954638,0.35644008,0.87459148,0.79600597,0.70511697,0.6934248,0.73328787,0.91346727,0.85373865,0.82202462,0.85127059,0.89102407,0.93249279,0.89220287,0.89106588,0.92069287,0.94050953
8,0.74463325,0.62639605,0.44745939,0.31572693,0.20367861,0.83383884,0.72531678,0.55706479,0.44608564,0.35414293,0.87303286,0.79387646,0.70326479,0.69222511,0.73216346,0.91230667,0.85240749,0.8213137,0.85083258,0.89067561,0.93162774,0.89142813,0.8906991,0.92045724,0.94033684
9,0.74192628,0.62282483,0.44334828,0.31256977,0.20164118,0.83152186,0.72230825,0.55318351,0.44271508,0.35183707,0.87119002,0.79164514,0.70144416,0.69098901,0.73095579,0.91090416,0.85099315,0.8205731,0.85036596,0.89029784,0.93065614,0.89058738,0.89030064,0.92019925,0.94014783
10,0.74,0.62,0.44,0.31,0.2,0.83,0.72,0.55,0.44,0.35,0.87,0.79,0.7,0.69,0.73,0.91,0.85,0.82,0.85,0.89,0.93,0.89,0.89,0.92,0.94
11,0.7387536,0.61761149,0.43652425,0.30764566,0.19771001,0.82783402,0.71770753,0.5465801,0.43660398,0.34777049,0.86890209,0.78881935,0.6978071,0.68891736,0.72894541,0.9089328,0.84889549,0.81893927,0.84896995,0.88898099,0.92895295,0.88894213,0.88997751,0.91898415,0.93999298
