height_Mm,temperature_K,pressure_dyn_cm2,i_extension,f_extension_1e16_cm3
1,6000,0.05,0.48727,4.57858
1,8000,0.05,0.594123,5.46013
1,10000,0.05,0.720057,5.80611
1,12000,0.05,0.82777,5.48677
1,14000,0.05,0.894017,5.37499
5,6000,0.05,0.460991,4.37695
5,8000,0.05,0.569782,5.21335
5,10000,0.05,0.709061,5.53233
5,12000,0.05,0.823567,5.22289
5,14000,0.05,0.891877,5.11818
10,6000,0.05,0.44,4.2
10,8000,0.05,0.55,5
10,10000,0.05,0.7,5.3
10,12000,0.05,0.82,5
10,14000,0.05,0.89,4.9
20,6000,0.05,0.41,3.8
20,8000,0.05,0.52,4.6
20,10000,0.05,0.68,4.8
20,12000,0.05,0.81,4.6
20,14000,0.05,0.89,4.5
30,6000,0.05,0.39,3.5
30,8000,0.05,0.5,4.3
30,10000,0.05,0.66,4.5
30,12000,0.05,0.81,4.2
30,14000,0.05,0.88,4.2
50,6000,0.05,0.346981,3.16277
50,8000,0.05,0.455498,3.87903
50,10000,0.05,0.639561,4.05365
50,12000,0.05,0.801528,3.78555
50,14000,0.05,0.875419,3.78866
100,6000,0.05,0.271354,2.56584
100,8000,0.05,0.372152,3.13269
100,10000,0.05,0.598754,3.2672
100,12000,0.05,0.783934,3.06022
100,14000,0.05,0.865674,3.06914
